,,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA,xG+xA,npxG,npxG+xA,Matches
544,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,33,1986,20,20,1573,0,2,0,0,6,0,0.00,0.11,0.11,0.00,0.11,1.1,1.1,2.2,0.06,0.13,0.19,0.06,0.19,Matches
545,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,29,29,2610,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,1.8,1.8,0.5,0.06,0.02,0.08,0.06,0.08,Matches
546,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,23,1996,26,26,2266,1,2,0,0,7,0,0.04,0.08,0.12,0.04,0.12,1.6,1.6,0.9,0.06,0.04,0.10,0.06,0.10,Matches
547,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,es La Liga,28,1991,24,24,2160,0,1,0,0,7,0,0.00,0.04,0.04,0.00,0.04,1.5,1.5,0.9,0.06,0.04,0.10,0.06,0.10,Matches
548,Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,Juventus,it Serie A,32,1987,23,18,1617,0,2,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.0,1.0,1.1,0.06,0.06,0.11,0.06,0.11,Matches
549,Thiago Mendes\Thiago-Mendes,br BRA,MF,Lyon,fr Ligue 1,27,1992,22,21,1812,0,6,0,0,4,1,0.00,0.30,0.30,0.00,0.30,1.3,1.3,1.6,0.06,0.08,0.14,0.06,0.14,Matches
550,Míchel\Michel,es ESP,MF,Valladolid,es La Liga,31,1988,24,22,1780,1,1,1,1,4,0,0.05,0.05,0.10,0.00,0.05,1.1,0.3,1.9,0.06,0.10,0.15,0.02,0.11,Matches
551,Florian Miguel\Florian-Miguel,fr FRA,DF,Nîmes,fr Ligue 1,22,1996,24,23,2056,1,0,0,0,8,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,1.0,0.06,0.04,0.10,0.06,0.10,Matches
552,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,33,1985,17,17,1529,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,0.06,0.01,0.07,0.06,0.07,Matches
553,Alfredo Morales\Alfredo-Morales,us USA,MF,Düsseldorf,de Bundesliga,29,1990,23,17,1585,1,2,0,0,6,0,0.06,0.11,0.17,0.06,0.17,1.0,1.0,0.6,0.06,0.04,0.09,0.06,0.09,Matches
554,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,eng Premier League,28,1991,28,28,2373,1,0,1,1,6,0,0.04,0.00,0.04,0.00,0.00,1.5,0.7,3.4,0.06,0.13,0.19,0.03,0.16,Matches
555,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,eng Premier League,31,1988,24,24,2160,2,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.5,1.5,0.0,0.06,0.00,0.06,0.06,0.06,Matches
556,Nicolas Pallois\Nicolas-Pallois,fr FRA,DF,Nantes,fr Ligue 1,31,1987,21,21,1890,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,0.06,0.00,0.06,0.06,0.06,Matches
557,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,eng Premier League,31,1988,19,19,1696,2,0,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,0.2,0.06,0.01,0.07,0.06,0.07,Matches
558,Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,es La Liga,32,1987,25,25,2219,1,0,0,0,11,0,0.04,0.00,0.04,0.04,0.04,1.6,1.6,0.5,0.06,0.02,0.08,0.06,0.08,Matches
559,Ivan Radovanović\Ivan-Radovanovic,rs SRB,MF,Genoa,it Serie A,30,1988,19,15,1318,0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.6,0.06,0.04,0.10,0.06,0.10,Matches
560,Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Leganés,es La Liga,30,1988,18,17,1378,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.06,0.00,0.06,0.06,0.06,Matches
561,Theo Valls\Theo-Valls,fr FRA,MF,Nîmes,fr Ligue 1,23,1995,23,20,1632,1,1,0,0,1,1,0.06,0.06,0.11,0.06,0.11,1.0,1.0,1.9,0.06,0.10,0.16,0.06,0.16,Matches
562,Sebastian Vasiliadis\Sebastian-Vasiliadis,gr GRE,MF,Paderborn 07,de Bundesliga,21,1997,28,28,2448,1,1,0,0,9,0,0.04,0.04,0.07,0.04,0.07,1.6,1.6,1.8,0.06,0.07,0.13,0.06,0.13,Matches
563,Marius Wolf\Marius-Wolf,de GER,FWMF,Hertha BSC,de Bundesliga,24,1995,21,15,1410,1,3,0,0,2,1,0.06,0.19,0.26,0.06,0.26,1.0,1.0,1.8,0.06,0.11,0.17,0.06,0.17,Matches
564,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,3,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.2,0.05,0.01,0.05,0.05,0.05,Matches
565,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,26,26,2337,1,0,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.2,1.2,0.3,0.05,0.01,0.06,0.05,0.06,Matches
566,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,23,22,1947,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.2,0.05,0.05,0.11,0.05,0.11,Matches
567,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,18,17,1531,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.2,0.05,0.01,0.06,0.05,0.06,Matches
568,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,27,1992,16,16,1278,0,2,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,1.1,0.05,0.08,0.12,0.05,0.12,Matches
569,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,es La Liga,29,1990,24,24,2160,2,1,0,0,4,0,0.08,0.04,0.12,0.08,0.12,1.1,1.1,2.1,0.05,0.09,0.13,0.05,0.13,Matches
570,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,31,1988,23,20,1797,2,2,0,0,7,0,0.10,0.10,0.20,0.10,0.20,1.1,1.1,2.4,0.05,0.12,0.18,0.05,0.18,Matches
571,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,28,1991,18,18,1530,2,0,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.9,0.9,0.3,0.05,0.02,0.07,0.05,0.07,Matches
572,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,eng Premier League,33,1985,20,20,1800,0,1,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,0.3,0.05,0.01,0.06,0.05,0.06,Matches
573,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,16,2002,25,24,2107,1,2,0,0,4,0,0.04,0.09,0.13,0.04,0.13,1.1,1.1,0.8,0.05,0.04,0.08,0.05,0.08,Matches
574,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,26,1992,21,21,1890,0,1,0,0,9,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.5,0.05,0.02,0.08,0.05,0.08,Matches
575,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,23,23,2023,3,0,0,0,7,0,0.13,0.00,0.13,0.13,0.13,1.2,1.2,1.3,0.05,0.06,0.11,0.05,0.11,Matches
576,Marc Cucurella\Marc-Cucurella,es ESP,MFDF,Getafe,es La Liga,21,1998,26,26,2316,1,4,0,0,6,0,0.04,0.16,0.19,0.04,0.19,1.3,1.3,3.8,0.05,0.15,0.20,0.05,0.20,Matches
577,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,20,17,1551,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.05,0.00,0.05,0.05,0.05,Matches
578,Leander Dendoncker\Leander-Dendoncker,be BEL,DFMF,Wolves,eng Premier League,24,1995,29,26,2281,2,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.4,1.4,0.6,0.05,0.02,0.08,0.05,0.08,Matches
579,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,22,22,1868,2,0,0,0,5,1,0.10,0.00,0.10,0.10,0.10,1.0,1.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
580,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,33,1986,21,19,1646,1,0,0,0,6,0,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.3,0.05,0.02,0.06,0.05,0.06,Matches
581,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,27,27,2418,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.1,0.05,0.00,0.06,0.05,0.06,Matches
582,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,17,15,1447,1,0,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.1,0.05,0.01,0.06,0.05,0.06,Matches
583,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,21,1998,23,21,1908,1,1,0,0,8,0,0.05,0.05,0.09,0.05,0.09,1.1,1.1,0.9,0.05,0.04,0.10,0.05,0.10,Matches
584,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,29,1990,22,21,1780,2,1,0,0,7,0,0.10,0.05,0.15,0.10,0.15,1.1,1.1,1.5,0.05,0.08,0.13,0.05,0.13,Matches
585,Andrei Girotto\Andrei-Girotto,br BRA,DF,Nantes,fr Ligue 1,27,1992,25,25,2177,1,0,0,0,6,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.5,0.05,0.02,0.07,0.05,0.07,Matches
586,Álvaro González\Alvaro-Gonzalez,es ESP,DF,Marseille,fr Ligue 1,29,1990,20,19,1628,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.5,0.05,0.03,0.08,0.05,0.08,Matches
587,Florian Grillitsch\Florian-Grillitsch,at AUT,MF,Hoffenheim,de Bundesliga,23,1995,26,24,2059,0,3,0,0,2,0,0.00,0.13,0.13,0.00,0.13,1.0,1.0,2.6,0.05,0.11,0.16,0.05,0.16,Matches
588,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,es La Liga,32,1986,20,18,1527,0,3,0,0,9,0,0.00,0.18,0.18,0.00,0.18,0.8,0.8,2.1,0.05,0.12,0.17,0.05,0.17,Matches
589,Janik Haberer\Janik-Haberer,de GER,MFFW,Freiburg,de Bundesliga,25,1994,23,20,1704,2,2,0,0,5,1,0.11,0.11,0.21,0.11,0.21,0.9,0.9,0.8,0.05,0.04,0.09,0.05,0.09,Matches
590,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,eng Premier League,29,1990,25,22,1886,3,5,0,0,1,0,0.14,0.24,0.38,0.14,0.38,1.1,1.1,2.9,0.05,0.14,0.19,0.05,0.19,Matches
591,Hernani\Hernani,br BRA,MF,Parma,it Serie A,25,1994,23,21,1896,0,3,0,0,9,0,0.00,0.14,0.14,0.00,0.14,1.0,1.0,1.1,0.05,0.05,0.10,0.05,0.10,Matches
592,André Hoffmann\Andre-Hoffmann,de GER,DF,Düsseldorf,de Bundesliga,26,1993,24,23,2054,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,1.1,1.1,0.5,0.05,0.02,0.07,0.05,0.07,Matches
593,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,es La Liga,31,1988,26,26,2118,0,2,0,0,9,0,0.00,0.08,0.08,0.00,0.08,1.2,1.2,0.3,0.05,0.01,0.06,0.05,0.06,Matches
594,Armando Izzo\Armando-Izzo,it ITA,DF,Torino,it Serie A,27,1992,23,23,2041,1,0,0,0,6,2,0.04,0.00,0.04,0.04,0.04,1.2,1.2,0.6,0.05,0.03,0.08,0.05,0.08,Matches
595,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Augsburg,de Bundesliga,23,1995,27,27,2355,2,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.3,1.3,0.2,0.05,0.01,0.06,0.05,0.06,Matches
596,Frenkie de Jong\Frenkie-de-Jong,nl NED,MF,Barcelona,es La Liga,22,1997,26,23,1988,2,2,0,0,3,1,0.09,0.09,0.18,0.09,0.18,1.0,1.0,2.3,0.05,0.10,0.15,0.05,0.15,Matches
597,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,eng Premier League,28,1991,19,18,1575,0,1,0,0,3,2,0.00,0.06,0.06,0.00,0.06,0.9,0.9,0.3,0.05,0.02,0.07,0.05,0.07,Matches
598,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,1992,26,26,2261,1,3,0,0,7,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,3.3,0.05,0.13,0.18,0.05,0.18,Matches
599,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,21,13,1304,0,1,0,0,2,1,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.9,0.05,0.06,0.12,0.05,0.12,Matches
600,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,eng Premier League,27,1992,28,25,2290,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.4,1.4,1.6,0.05,0.06,0.11,0.05,0.11,Matches
601,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,eng Premier League,19,1999,29,29,2528,2,5,0,0,4,0,0.07,0.18,0.25,0.07,0.25,1.5,1.5,5.5,0.05,0.20,0.25,0.05,0.25,Matches
602,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,eng Premier League,29,1989,29,29,2610,0,1,0,0,7,0,0.00,0.03,0.03,0.00,0.03,1.5,1.5,0.6,0.05,0.02,0.07,0.05,0.07,Matches
603,Roque Mesa\Roque-Mesa,es ESP,MF,Leganés,es La Liga,30,1989,20,18,1590,1,2,0,0,8,0,0.06,0.11,0.17,0.06,0.17,0.9,0.9,1.5,0.05,0.09,0.13,0.05,0.13,Matches
604,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DFFW,Hertha BSC,de Bundesliga,22,1997,25,18,1797,1,3,0,0,4,0,0.05,0.15,0.20,0.05,0.20,0.9,0.9,1.8,0.05,0.09,0.14,0.05,0.14,Matches
605,Jérémy Morel\Jeremy-Morel,mg MAD,DF,Rennes,fr Ligue 1,35,1984,21,20,1806,1,0,0,0,2,0,0.05,0.00,0.05,0.05,0.05,1.0,1.0,0.3,0.05,0.02,0.07,0.05,0.07,Matches
606,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,eng Premier League,22,1997,29,26,2278,2,1,0,0,7,0,0.08,0.04,0.12,0.08,0.12,1.3,1.3,1.3,0.05,0.05,0.10,0.05,0.10,Matches
607,Nicolas Nkoulou\Nicolas-Nkoulou,cm CMR,DF,Torino,it Serie A,29,1990,19,19,1687,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.05,0.00,0.05,0.05,0.05,Matches
608,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,eng Premier League,25,1994,28,28,2520,0,1,0,0,3,0,0.00,0.04,0.04,0.00,0.04,1.3,1.3,2.2,0.05,0.08,0.12,0.05,0.12,Matches
609,Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,es La Liga,27,1992,19,17,1592,1,0,0,0,7,1,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.1,0.05,0.01,0.06,0.05,0.06,Matches
610,Otávio\Otavio,br BRA,MF,Bordeaux,fr Ligue 1,25,1994,25,25,2211,2,3,0,0,6,0,0.08,0.12,0.20,0.08,0.20,1.1,1.1,0.6,0.05,0.02,0.07,0.05,0.07,Matches
611,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,de Bundesliga,23,1996,27,27,2401,4,3,0,0,5,0,0.15,0.11,0.26,0.15,0.26,1.3,1.3,2.7,0.05,0.10,0.15,0.05,0.15,Matches
612,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,eng Premier League,27,1991,26,26,2340,1,2,0,0,4,0,0.04,0.08,0.12,0.04,0.12,1.4,1.4,1.9,0.05,0.07,0.13,0.05,0.13,Matches
613,Andrea Rispoli\Andrea-Rispoli,it ITA,DF,Lecce,it Serie A,30,1988,20,15,1357,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,0.05,0.07,0.12,0.05,0.12,Matches
614,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,eng Premier League,25,1994,28,27,2444,1,7,0,0,1,0,0.04,0.26,0.29,0.04,0.29,1.3,1.3,5.6,0.05,0.21,0.25,0.05,0.25,Matches
615,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,de Bundesliga,28,1990,25,21,1627,2,3,0,0,4,0,0.11,0.17,0.28,0.11,0.28,0.8,0.8,1.5,0.05,0.08,0.13,0.05,0.13,Matches
616,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFFW,Leganés,es La Liga,25,1994,18,15,1359,1,2,0,0,4,1,0.07,0.13,0.20,0.07,0.20,0.7,0.7,2.5,0.05,0.17,0.21,0.05,0.21,Matches
617,Alessio Romagnoli\Alessio-Romagnoli,it ITA,DF,Milan,it Serie A,24,1995,26,26,2340,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,0.05,0.02,0.07,0.05,0.07,Matches
618,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Valladolid,es La Liga,20,1999,27,26,2365,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,1.2,1.2,0.1,0.05,0.00,0.05,0.05,0.05,Matches
619,Ibrahim Sangaré\Ibrahim-Sangare,ci CIV,MF,Toulouse,fr Ligue 1,21,1997,25,25,2175,0,1,0,0,8,0,0.00,0.04,0.04,0.00,0.04,1.2,1.2,1.7,0.05,0.07,0.12,0.05,0.12,Matches
620,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Angers,fr Ligue 1,24,1995,28,28,2505,1,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,1.3,1.3,0.9,0.05,0.03,0.08,0.05,0.08,Matches
621,Sebastian Schonlau\Sebastian-Schonlau,de GER,DF,Paderborn 07,de Bundesliga,24,1994,23,23,2070,2,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.2,1.2,0.0,0.05,0.00,0.05,0.05,0.05,Matches
622,Ibrahima Sissoko\Ibrahima-Sissoko,fr FRA,MF,Strasbourg,fr Ligue 1,21,1997,23,18,1598,0,1,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,1.3,0.05,0.07,0.12,0.05,0.12,Matches
623,Neven Subotić\Neven-Subotic,rs SRB,DF,Union Berlin,de Bundesliga,30,1988,22,22,1904,1,0,0,0,3,1,0.05,0.00,0.05,0.05,0.05,1.0,1.0,0.3,0.05,0.02,0.06,0.05,0.06,Matches
624,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,eng Premier League,26,1992,29,29,2610,1,1,0,0,8,0,0.03,0.03,0.07,0.03,0.07,1.6,1.6,1.6,0.05,0.05,0.11,0.05,0.11,Matches
625,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,es La Liga,22,1997,24,23,2071,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,1.1,1.1,1.3,0.05,0.06,0.10,0.05,0.10,Matches
626,Ismaël Traoré\Ismael-Traore,ci CIV,DF,Angers,fr Ligue 1,32,1986,23,23,2052,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,0.05,0.01,0.06,0.05,0.06,Matches
627,Stefan de Vrij\Stefan-de-Vrij,nl NED,DF,Inter,it Serie A,27,1992,23,22,2006,2,3,0,0,3,0,0.09,0.13,0.22,0.09,0.22,1.2,1.2,0.5,0.05,0.02,0.08,0.05,0.08,Matches
628,Daniel Wass\Daniel-Wass,dk DEN,DFMF,Valencia,es La Liga,30,1989,25,24,2168,1,6,0,0,5,0,0.04,0.25,0.29,0.04,0.29,1.2,1.2,2.1,0.05,0.09,0.14,0.05,0.14,Matches
629,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,eng Premier League,24,1995,23,23,2015,3,1,0,0,3,0,0.13,0.04,0.18,0.13,0.18,1.1,1.1,1.2,0.05,0.05,0.10,0.05,0.10,Matches
630,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,23,21,1878,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,0.9,0.04,0.04,0.09,0.04,0.09,Matches
631,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,17,17,1400,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.3,0.04,0.08,0.12,0.04,0.12,Matches
632,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,17,16,1375,1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,0.5,0.5,2.1,0.04,0.14,0.17,0.04,0.17,Matches
633,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,25,25,2250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,0.04,0.02,0.06,0.04,0.06,Matches
634,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,21,20,1807,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,0.04,0.02,0.06,0.04,0.06,Matches
635,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,26,23,2054,2,1,0,0,6,0,0.09,0.04,0.13,0.09,0.13,1.0,1.0,1.0,0.04,0.04,0.08,0.04,0.08,Matches
636,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,20,19,1729,1,0,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.1,0.04,0.00,0.05,0.04,0.05,Matches
637,Dénys Bain\Denys-Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,15,13,1268,1,0,0,0,3,1,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.0,0.04,0.00,0.04,0.04,0.04,Matches
638,Ridle Baku\Ridle-Baku,de GER,DFMF,Mainz 05,de Bundesliga,21,1998,26,23,2036,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.9,0.9,2.4,0.04,0.10,0.14,0.04,0.14,Matches
639,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,30,1989,29,29,2424,1,1,0,0,3,0,0.04,0.04,0.07,0.04,0.07,1.1,1.1,0.1,0.04,0.00,0.04,0.04,0.04,Matches
640,Loris Benito\Loris-Benito,ch SUI,DF,Bordeaux,fr Ligue 1,27,1992,23,21,1896,1,0,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.8,0.8,1.0,0.04,0.05,0.08,0.04,0.08,Matches
641,Juan Bernat\Juan-Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,26,1993,18,16,1388,0,4,0,0,5,0,0.00,0.26,0.26,0.00,0.26,0.5,0.5,2.4,0.04,0.15,0.19,0.04,0.19,Matches
642,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Amiens,fr Ligue 1,23,1996,21,21,1878,1,1,0,0,5,0,0.05,0.05,0.10,0.05,0.10,0.8,0.8,1.0,0.04,0.05,0.09,0.04,0.09,Matches
643,Marco Calderoni\Marco-Calderoni,it ITA,DF,Lecce,it Serie A,30,1989,19,18,1604,3,1,0,0,6,0,0.17,0.06,0.22,0.17,0.22,0.6,0.6,1.4,0.04,0.08,0.12,0.04,0.12,Matches
644,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,27,1992,25,24,2140,2,4,0,0,10,0,0.08,0.17,0.25,0.08,0.25,1.0,1.0,3.0,0.04,0.13,0.17,0.04,0.17,Matches
645,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,eng Premier League,25,1994,26,25,2194,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,0.8,0.04,0.03,0.08,0.04,0.08,Matches
646,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,34,1985,24,23,1941,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.8,0.8,0.2,0.04,0.01,0.04,0.04,0.04,Matches
647,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,21,20,1769,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,0.8,0.8,1.1,0.04,0.05,0.09,0.04,0.09,Matches
648,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,26,1993,17,17,1513,0,1,0,0,6,1,0.00,0.06,0.06,0.00,0.06,0.7,0.7,0.3,0.04,0.02,0.06,0.04,0.06,Matches
649,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,26,1993,26,26,2241,0,5,0,0,2,0,0.00,0.20,0.20,0.00,0.20,1.1,1.1,4.6,0.04,0.18,0.23,0.04,0.23,Matches
650,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,24,23,2087,1,0,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.0,1.0,0.1,0.04,0.00,0.05,0.04,0.05,Matches
651,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,es La Liga,24,1995,26,26,2290,2,0,0,0,6,0,0.08,0.00,0.08,0.08,0.08,1.0,1.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
652,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,23,1995,25,25,2250,0,1,0,0,9,0,0.00,0.04,0.04,0.00,0.04,1.0,1.0,0.6,0.04,0.03,0.06,0.04,0.06,Matches
653,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28,28,2520,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,0.04,0.00,0.05,0.04,0.05,Matches
654,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,26,24,1911,1,1,0,0,5,1,0.05,0.05,0.09,0.05,0.09,0.9,0.9,0.9,0.04,0.04,0.08,0.04,0.08,Matches
